text1,text2,distance
Men and women have different interests with regards to sex.,"It is wrong to assume that men and women are homogeneous groups, when in reality, various perceptions towards sexual behavior exist within both sexes.",1
Hedonistic sexuality advances men's interests more than that of women.,The ideas that drive men's hedonistic pleasure is dependent on women's sexual autonomy.,1
Men pursue their sexual interests differently than women do. Aggression is more strongly linked to sexuality for men than for women.,Nothing about hedonistic sex suggests that aggression needs to play a role.,1
"Men generally have a higher sex drive than women; thus, women do not behave the same way sexually.",Women's sex drives are not lower than men's; they merely have different patterns and react to different triggers than men.,1
"Men generally have a higher sex drive than women; thus, women do not behave the same way sexually.","Puritanical societal norms subject girls and women to harsh judgment for liking and enjoying sex. Given that the sex drive is strongly influenced by sociocultural factors, a low sex drive in women may be attributable to such norms.",1
"Men generally have a higher sex drive than women; thus, women do not behave the same way sexually.",Women's sex drives are not lower than men's; they merely have different patterns and react to different triggers than men.,1
"Men generally have a higher sex drive than women; thus, women do not behave the same way sexually.","Puritanical societal norms subject girls and women to harsh judgment for liking and enjoying sex. Given that the sex drive is strongly influenced by sociocultural factors, a low sex drive in women may be attributable to such norms.",1
More Gen Z women are embracing the demisexual identity as a response against the idea that women must have sex to feel empowered.,They were probably demisexual before. the fact that they discovered that about themselves in reaction to something does not mean that they are against others feeling that way.,1
Public shaming can be misused and cause lasting damage to those who go through it.,It is based off the assumption that women shouldn't be shamed for acting the way they want.,1
"Focusing on only the sexual aspects of a ""sex strike"" is misleading; these strikes are usually only a small part of a larger women's general strike.",Sex strikes by women have been known to successfully enact political and social change.,1
"Using sexuality as a means to gain power actually disempowers women, as it bases their sole value on their sexuality.","Though men gain power in society through their views on sex, women can gain just as much power through their attitudes and behavior towards sex as well.",1
"Hedonistic sexuality is detrimental to feminism, as women can face persecution and ostracism for expressing their sexuality.","This persecution will end as societies change, just as other women's rights movements have forced social changes in the past.",1
"Hedonistic sexuality is detrimental to feminism, as women can face persecution and ostracism for expressing their sexuality.",Fighting against such persecution and changing this kind of behavior is a key objective of feminism.,1
"Hedonistic sexuality is detrimental to feminism, as women can face persecution and ostracism for expressing their sexuality.","Hedonistic sexuality is not the cause for persecution, sexist views on what is acceptable sexual behavior should be is what caused persecution.",1
Hedonistic sexuality has led to a great many single mothers.,"This can be countered with condoms and other contraceptives, the use of which is strongly recommended and propagated in more sexually liberal circles.",1
Hedonistic sexuality has led to a great many single mothers.,"This problem exists independent of hedonistic sexuality. Instead of opposing hedonistic sexuality, the actual solution is therefore to improve the situation of single mothers.",1
Hedonistic sexuality has led to a great many single mothers.,"Being a single mother should not be considered a bad thing, neither for the women themselves, nor for the feminist movement.",1
"Single mother households have been on the rise since the 1950s, in line with the sexual liberation movement's push to decouple sex and marriage.","Hedonistic sexuality may correlate with single parenthood, but correlation does not equal causation.",1
These women are heavily constrained and thus disempowered by their situation as single mothers. That runs counter to the feminist movement.,That's a problem with the system failing to adequately support single mothers and a reason to push for greater support.,1
These women are heavily constrained and thus disempowered by their situation as single mothers. That runs counter to the feminist movement.,The alternative is not necessarily better. Constraint and dis-empowerment can also be the result of a committed and stable relationship.,1
Abstinence is the only method of prevention that is 100% successful.,"This can be countered with condoms and other contraceptives, the use of which is strongly recommended and propagated in more sexually liberal circles.",1
"With the exception of cases of rape, the mothers referenced in the above claim would not have a child to raise if they had not engaged in hedonistic sexuality. Thus, being left alone to raise children is an indirect result of their hedonistic sexual practices.",Mothers being left on their own to raise a child has little to do with hedonistic sexuality and much more with conservative norms that put the primary responsibility of raising a child on the mother.,1
"With the exception of cases of rape, the mothers referenced in the above claim would not have a child to raise if they had not engaged in hedonistic sexuality. Thus, being left alone to raise children is an indirect result of their hedonistic sexual practices.","Even without hedonistic sex, a woman could become a single mother if the father leaves or cannot actively fulfill their role as a parent.",1
"Studies would indicate that the average single-parent household has fewer advantages than two-parent households, which is to the detriment of children raised in single-parent homes (p.131).","Being a single mother should not be considered a bad thing, neither for the women themselves, nor for the feminist movement.",1
Women in majority Muslim societies are often severely restricted in how they are able to express themselves sexually and persecuted for presenting themselves as sexual beings.,Islam has a long tradition of discourse about and acceptance of hedonistic sexual practices.,1
"Men often feel threatened by sexually confident women, so women are more likely to be successful in their pursuit of sexual hedonism once they have achieved equality in other areas first.",Fighting against such persecution and changing this kind of behavior is a key objective of feminism.,1
A person who derives sexual pleasure from illicit acts like sexual abuse or rape would only be able to maximise their pleasure at the expense of others.,"When sex is associated with pleasure, any sex that does not lead to pleasure becomes inherently problematic. This clarifies and strengthens the line between acceptable and unacceptable sexual conduct.",1
A person who derives sexual pleasure from illicit acts like sexual abuse or rape would only be able to maximise their pleasure at the expense of others.,"Sexual abuse or rape would not fall under the category of 'sex for pleasure.' Thus, this practice would be condemned in a society that's shifting more toward accepting hedonistic sexual practices.",1
Hedonistic sexual practices could include things like BDSM that blur the line between what is acceptable and unacceptable.,"When sex is associated with pleasure, any sex that does not lead to pleasure becomes inherently problematic. This clarifies and strengthens the line between acceptable and unacceptable sexual conduct.",1
Hedonistic sexual practices could include things like BDSM that blur the line between what is acceptable and unacceptable.,"The BDSM community is a pioneer on the topic of sexual consent and can provide valuable insight about this topic to the the mainstream, or non-BDSM community.",1
The practice of BDSM is abusive.,"BDSM practice can be incredibly liberating. If it were abusive, people would not consistently view it as liberatory.",1
The practice of BDSM is abusive.,Perceptions of BDSM as abusive arise from inaccurate portrayals.,1
The dynamics in BDSM relationships are often abusive.,The relationship dynamics of many non-BDSM relationships are abusive; there is no evidence that BDSM relationships are more likely to be abusive.,1
The dynamics in BDSM relationships are often abusive.,BDSM has positive effects on a relationship that make it less likely to be abusive than might otherwise be assumed.,1
The dynamics in BDSM relationships are often abusive.,There are many systems and rules in place that people can use to prevent BDSM activities from becoming abusive or dangerous. This can help relationships remain respectful and consensual.,1
Submissives in BDSM relationships give their partners a huge amount of control and power over them. It is easy for this power to be abused.,Any power that a dominant holds is rooted in the giving of power by the submissive. It is not easy to abuse such power since a submissive can revoke it at will.,1
"When a dominant partner goes too far, it can be difficult for the submissive to realize that it is the dominant's fault and not their own for not setting clear boundaries.","People who engage in BDSM are frequently trained to use anti-abusive communication tactics, such as safe words, in order to ensure that boundaries remain clear.",1
"When a dominant partner goes too far, it can be difficult for the submissive to realize that it is the dominant's fault and not their own for not setting clear boundaries.","Since a safe word necessarily supersedes any established boundary, submissives can easily ascertain that a dominant who fails to honor an established safe word is at fault.",1
BDSM involves many situations where a person can get carried away and go too far; this increases the risk of the activity becoming abusive.,"As BDSM does not encourage people to break pre-negotiated boundaries, the main concern should be punishing those who do not practise consensual sex, be it BDSM or vanilla.",1
"Reinforcement of proper communication and consent practices is more effective at promoting consensual behaviour, as punishment does not effectively support a desired behaviour.","As BDSM does not encourage people to break pre-negotiated boundaries, the main concern should be punishing those who do not practise consensual sex, be it BDSM or vanilla.",1
"As an inherently transgressive practice, BDSM may be attractive to those with a propensity for crossing boundaries.","As BDSM does not encourage people to break pre-negotiated boundaries, the main concern should be punishing those who do not practise consensual sex, be it BDSM or vanilla.",1
"Participants in a scene can experience subspace, a high caused by endorphins and adrenaline. If this happens, they may not be in a position to stop the scene.","People who engage in BDSM are frequently trained to use anti-abusive communication tactics, such as safe words, in order to ensure that boundaries remain clear.",1
Some submissives agree to sex slavery or consensual ownership by their dominant. Such practices are dehumanising and thus abusive.,Submissive partners freely give themselves to their dominant for a number of reasons besides sex. The holistic evaluation of these factors allows them to offer informed consent.,1
BDSM slave contracts are sometimes used to enforce long-term consent between participants. Such contracts remove the right of the slave to withdraw consent for the duration of the contract.,"While some slave contracts may seem punitively restrictive, this is a matter of personal preference for those drawing them up.",1
BDSM slave contracts are sometimes used to enforce long-term consent between participants. Such contracts remove the right of the slave to withdraw consent for the duration of the contract.,"In BDSM contracts, the submissive partner retains the legal right of last refusal; as such, slave contracts are not legally binding (pp. 178-179).",1
"Some submissive partners wear collars that identify them as submissive and/or owned people. This can be degrading and dehumanising, equivocating submissives with animals.","Collaring ceremonies can be particularly meaningful, denoting the establishment of a committed relationship or other important milestone in a couple's life (p. 3). Such actions are not dehumanising, but rather intimate and respectful.",1
"Some submissive partners wear collars that identify them as submissive and/or owned people. This can be degrading and dehumanising, equivocating submissives with animals.",Some people take pride or comfort in being submissive or owned; omitting these experiences in place of presuming victimhood does more harm than good.,1
"Since research has demonstrated that experiences of powerlessness contribute to increased self-dehumanisation (p. 15), any form of slavery or ownership can be considered abusive.",Submissive partners freely give themselves to their dominant for a number of reasons besides sex. The holistic evaluation of these factors allows them to offer informed consent.,1
"Pre-established limits can be broken accidentally, particularly in a community where they are encouraged to be pushed, comparable to building up fitness by gradually increasing a workout. Although consent is encouraged, mistakes do happen.",The BDSM community strongly encourages practitioners to negotiate and establish their limits before entering a scene to ensure that no serious harms or consent violations occur (p. 73). This drastically reduces the potential for abuse.,1
"Pre-established limits can be broken accidentally, particularly in a community where they are encouraged to be pushed, comparable to building up fitness by gradually increasing a workout. Although consent is encouraged, mistakes do happen.","Though limits can be infringed upon by accident, BDSM practices do not usually support this. If participants acknowledge the risks, then they can create contingencies to mitigate them.",1
"Submissives may be misled by abusers posing as dominants, who violate their prearranged consensual limits. The ease with which participants may be misled is evidence that BDSM is an abusive and dangerous activity.",The BDSM community strongly encourages practitioners to negotiate and establish their limits before entering a scene to ensure that no serious harms or consent violations occur (p. 73). This drastically reduces the potential for abuse.,1
"Submissives may be misled by abusers posing as dominants, who violate their prearranged consensual limits. The ease with which participants may be misled is evidence that BDSM is an abusive and dangerous activity.","Many BDSM communities are exclusive, and do not accept newcomers until they have been vetted by attending munches or undergoing more detailed background checks (p. 40).",1
It is common for people being abused to form a strong emotional connection with their abuser. This does not negate the abuse they suffer.,Any power that a dominant holds is rooted in the giving of power by the submissive. It is not easy to abuse such power since a submissive can revoke it at will.,1
"In some situations, abuse is normalised to such an extent that the abused party cannot feasibly consent; submissives may be unable to revoke their power and regain control of the situation.",Any power that a dominant holds is rooted in the giving of power by the submissive. It is not easy to abuse such power since a submissive can revoke it at will.,1
Submissives in BDSM relationships may feel unable to revoke consent if that power has been removed from them under the guise of a contract.,Any power that a dominant holds is rooted in the giving of power by the submissive. It is not easy to abuse such power since a submissive can revoke it at will.,1
BDSM practitioners often form strong emotional attachments with their partners (p. 19). This may make it difficult for them to extricate themselves from abusive situations.,BDSM practitioners report extremely low prior involvement in or future intention to carry out coercive sexual behaviours. This may mean that the emotional vulnerability present in BDSM relationships is offset by a low risk of harm.,1
BDSM practitioners often form strong emotional attachments with their partners (p. 19). This may make it difficult for them to extricate themselves from abusive situations.,It is no more difficult to leave a harmful BDSM relationship than it is to leave other potentially harmful relationships.,1
The bonds formed in BDSM may attract sex offenders (p. 14). This can create self-perpetuating cycles of harm as victims struggle to leave their abusers after forming emotional attachments to them (p. 106).,"Even if sex offenders are attracted to BDSM, it does not mean that BDSM is abusive. Rather, it is something that sex offenders misuse.",1
The bonds formed in BDSM may attract sex offenders (p. 14). This can create self-perpetuating cycles of harm as victims struggle to leave their abusers after forming emotional attachments to them (p. 106).,Associations between BDSM and sex offending are false and spring from stereotypical media inaccuracies (p. 30).,1
Many are introduced to BDSM by close personal contacts (p. 24). Joining in this manner may make newcomers more vulnerable to emotional manipulation.,"People are more vulnerable to emotional manipulation when they lack community. Therefore, munches and other meet-ups help safeguard against this by making it easy to meet like-minded others (p. 671).",1
"Self-reported intentions are often an inaccurate measure of behaviour, as subjects are keen to be perceived positively. BDSM practitioners may, therefore, be as inclined as vanilla people, if not more so, to be sexually coercive.",BDSM practitioners report extremely low prior involvement in or future intention to carry out coercive sexual behaviours. This may mean that the emotional vulnerability present in BDSM relationships is offset by a low risk of harm.,1
"BDSM practitioners may have a hard time finding partners that share their kinks, and thus be motivated to remain in sub-optimal relationships so that some of their needs are met.",It is no more difficult to leave a harmful BDSM relationship than it is to leave other potentially harmful relationships.,1
"Consensual non-consent (CNC) practices simulate abuse and may appear to be violent, abusive, and/or lacking the consent of one or more parties.",Simulations are not equivalent to actual activities. Simulated abuse is not real and has controls that prevent it from causing harm.,1
"Total power exchange (TPE) relationships use blanket consent, wherein a submissive gives consent in advance of a scene where participants behave as if it has been waived. Such consent cannot be credibly given as participants lack true foreknowledge of the scene ahead.","TPE relationships are generally predicated on a high level of trust developed between participants over a longer period of time, and cannot be accurately appraised outside of this context.",1
"Rape play, a form of CNC that also includes activities like psychological and emotional control, is inherently unethical and abusive.","So long as participants adhere to the agreed-upon behaviours, there is no distinction between rape play and other types of sexual roleplay.",1
"Rape play, a form of CNC that also includes activities like psychological and emotional control, is inherently unethical and abusive.","Rape play is a healthy way for participants to explore rape fantasies, which are common and completely normal (p. 99).",1
"Rape play can go horribly wrong and have damaging physical, psychological or legal repercussions for participants.","Rape play is a healthy way for participants to explore rape fantasies, which are common and completely normal (p. 99).",1
"Actors that portray abuse can suffer emotional trauma despite their consent and awareness that the abuse is simulated (pp. 4, 8, 54).","Similar to acting, when BDSM simulates abuse, it does so in a controlled environment where those involved can opt out of scenes or end them at will (p. 1).",1
"An actor is less likely to be subject to the pressures a BDSM submissive feels when they are bound, due to the protections of actors' unions.","Similar to acting, when BDSM simulates abuse, it does so in a controlled environment where those involved can opt out of scenes or end them at will (p. 1).",1
Simulating nonconsensual sexual behaviour with a partner accurately replicates the experience of transgressing boundaries (p. 64). This may normalise and reinforce such behaviours.,Simulations are not equivalent to actual activities. Simulated abuse is not real and has controls that prevent it from causing harm.,1
Harassment and abuse in virtual reality can feel real and cause real damage. It follows that the same would be true for simulated role-play scenarios.,Simulations are not equivalent to actual activities. Simulated abuse is not real and has controls that prevent it from causing harm.,1
"High levels of trust are not inherently present in BDSM relationships; negotiations may be difficult as people struggle to be vulnerable and fully articulate their boundaries. This may facilitate abuse, as people can misunderstand, transgress, or flout another's boundaries.","BDSM relationships require higher levels of trust and communication than vanilla relationships (p. 112), so if participants are uncomfortable, then they are more likely to directly address it. This contributes to greater intimacy and helps to prevent abuse.",1
"High levels of trust are not inherently present in BDSM relationships; negotiations may be difficult as people struggle to be vulnerable and fully articulate their boundaries. This may facilitate abuse, as people can misunderstand, transgress, or flout another's boundaries.",It is unfair and inaccurate to label an entire practice as abusive based on those who fail to adhere to the correct procedures. This is the equivalent of labeling all doctors quacks because of isolated cases of malpractice.,1
"Many of the activities practiced in BDSM are considered abusive in other contexts; it is unclear why higher trust and communication levels should negate this fact, as abuse would still have to occur for someone to register discomfort.","BDSM relationships require higher levels of trust and communication than vanilla relationships (p. 112), so if participants are uncomfortable, then they are more likely to directly address it. This contributes to greater intimacy and helps to prevent abuse.",1
"Many of the activities practiced in BDSM are considered abusive in other contexts; it is unclear why higher trust and communication levels should negate this fact, as abuse would still have to occur for someone to register discomfort.","A lack of trust, open communication, and consent is what makes an activity abusive; consensual BDSM possesses each of these and, as such, is not abusive.",1
"Consent violations happen just as in other sexual subcultures. Despite its image, though, the BDSM community has often handled them poorly.",The relationship dynamics of many non-BDSM relationships are abusive; there is no evidence that BDSM relationships are more likely to be abusive.,1
"Consent violations happen just as in other sexual subcultures. Despite its image, though, the BDSM community has often handled them poorly.","Academics believe that the consent tools offered by BDSM communities, alongside their zero-tolerance policy for sexual assault, can help reduce the frequency of harm (pp. 10, 30).",1
"Since sadomasochistic relationships often revolve around an unending power struggle, the idea of two people becoming closer to each other through sadism and masochism is questionable.","Participating in consensual sadomasochistic scenes increases feelings of connectedness and intimacy between partners (p. 198). These are markers of a positive, non-abusive relationship (p. 14).",1
"There are a number of commonly-accepted characteristics used to judge the health of a relationship. Relationships that are focused on power, control and violence, such as BDSM relationships, do not meet these criteria (p. 1).",The number of people who experience BDSM-related fantasies is substantially higher than commonly assumed (p. 801); sharing and acting these out may improve intimacy and trust in a relationship.,1
"If a BDSM activity goes poorly, it may cause a decrease in intimacy, which can significantly harm a relationship.",The number of people who experience BDSM-related fantasies is substantially higher than commonly assumed (p. 801); sharing and acting these out may improve intimacy and trust in a relationship.,1
"If a BDSM activity goes poorly, it may cause a decrease in intimacy, which can significantly harm a relationship.",Problems in any aspect of a relationship can decrease intimacy between partners; this is not unique to BDSM.,1
"There is often a disparity between the perspectives of dominants and submissives. If only one partner views BDSM positively, this could indicate that abuse is occurring.",BDSM has positive effects on a relationship that make it less likely to be abusive than might otherwise be assumed.,1
"There is often a disparity between the perspectives of dominants and submissives. If only one partner views BDSM positively, this could indicate that abuse is occurring.","Differences in experience between dominant and submissive roles may be attributable to the greater comfort of dominant personalities with assertive communication; the same power differential exists between more and less assertive personalities in many situations and settings, so the dynamic cannot be attributed to BDSM itself.",1
"BDSM practitioners show lower levels of agreeableness than non-practitioners (p. 1949), which may lead to less relationship satisfaction (p. 1519).",BDSM has positive effects on a relationship that make it less likely to be abusive than might otherwise be assumed.,1
"BDSM practitioners show lower levels of agreeableness than non-practitioners (p. 1949), which may lead to less relationship satisfaction (p. 1519).",Less agreeable people may be less likely to engage in an activity where they could be subject to abuse. Such dispositions may function as useful accountability measures.,1
BDSM practices must be abusive if practitioners need to be pampered to ensure their physical and psychological safety and health.,"During aftercare, BDSM partners are encouraged to debrief and reflect on their activities and how they made each other feel following an intense experience. It is an important system to keep practitioners physically and psychologically safe and healthy.",1
BDSM practices must be abusive if practitioners need to be pampered to ensure their physical and psychological safety and health.,Aftercare functions as a recalibration for the normalcy of a relationship. People's behaviour during a BDSM scene may differ dramatically from expectations during the normal course of the relationship.,1
"To an outsider, the practice of aftercare might seem similar to rapists caring for their victims in order to ensure their silence and cooperation.","During aftercare, BDSM partners are encouraged to debrief and reflect on their activities and how they made each other feel following an intense experience. It is an important system to keep practitioners physically and psychologically safe and healthy.",1
"To an outsider, the practice of aftercare might seem similar to rapists caring for their victims in order to ensure their silence and cooperation.",Judging the ethicality of an act based on the impressions of people unfamiliar with it is an unreliable moral yardstick.,1
Many relationships have power differentials between participants that can make equal negotiation difficult.,"Often, BDSM participants enter a contract as equals before any action is taken and, even in casual encounters, determine what is acceptable ahead of time by reviewing their hard and soft boundaries (p. 4).",1
"Consent does not equal lack of harm. Someone can consent to something and then be seriously harmed by it, mentally or physically.",Actions that might otherwise be considered abusive are acceptable provided that consent has been given.,1
"Consent does not equal lack of harm. Someone can consent to something and then be seriously harmed by it, mentally or physically.","Harm does not always involve abuse. For example, it can occur accidentally.",1
Abusing your partner (even with their consent) should not be acceptable because it implies a lack of concern for their well-being.,Actions that might otherwise be considered abusive are acceptable provided that consent has been given.,1
"Consent can be abused or restricted in a number of ways, so it is not adequate protection from the possible harms of BDSM.","Consent is required at every step of a BDSM activity. Therefore, no one is exploited, as permission must always be requested and granted before an act can take place.",1
"Consent can be abused or restricted in a number of ways, so it is not adequate protection from the possible harms of BDSM.","Breach of consent is not an issue exclusive to BDSM; rather, it is a widespread issue of abuse and disrespect in relationships.",1
"Consent can be abused or restricted in a number of ways, so it is not adequate protection from the possible harms of BDSM.",Consensual BDSM practices involving physical or mental control are only abusive when the prearranged limits of consent have been breached.,1
A contract can be poorly constructed to give a dominant partner undue control over a scene or relationship.,Many practitioners of BDSM adhere to the principle of risk-aware consensual kink (RACK) to ensure that their actions can feasibly be consented to and are not abusive (p. 3).,1
"Most BDSM practitioners don't enforce formal contracts; even if limits are discussed, most activities in a scene are spontaneous.",Poor adherence to rules does not make BDSM itself abusive; it is those who disregard the rules that are responsible for causing harm.,1
"Misunderstandings about where the limit of consent lies can still occur despite prior discussions of boundaries. If situations leading to abuse are prevalent or likely within a practice, then it can generally be regarded as abusive.",Consensual BDSM practices involving physical or mental control are only abusive when the prearranged limits of consent have been breached.,1
"Choice is meaningless if it occurs within a system of oppression, so a person in a less privileged position can never meaningfully consent to BDSM practices.","Consent is required at every step of a BDSM activity. Therefore, no one is exploited, as permission must always be requested and granted before an act can take place.",1
"Choice is meaningless if it occurs within a system of oppression, so a person in a less privileged position can never meaningfully consent to BDSM practices.","The world exists within systems of oppression, yet people are able to meaningfully consent in a wide range of scenarios.",1
"Choice is meaningless if it occurs within a system of oppression, so a person in a less privileged position can never meaningfully consent to BDSM practices.","A healthy BDSM relationship does not demean the autonomy of the submissive or disprivilege them in their relationship. Given this, systems of oppression should not arise.",1
"While common safeguards have ostensibly been incorporated to prevent abuse, the need for them demonstrates the underlying abusive tendencies in BDSM.",There are many systems and rules in place that people can use to prevent BDSM activities from becoming abusive or dangerous. This can help relationships remain respectful and consensual.,1
"While common safeguards have ostensibly been incorporated to prevent abuse, the need for them demonstrates the underlying abusive tendencies in BDSM.",Just because abuse happens does not mean that BDSM tends towards it; this line of thinking is faulty.,1
BDSM can result in participants being hurt more than they are prepared for.,"Being overwhelmed or hurt unexpectedly is not exclusive to BDSM; it may occur in any relationship or situation, including those without any physical intimacy.",1
BDSM can result in participants being hurt more than they are prepared for.,"BDSM practitioners are adept at controlling and managing pain. Though accidents may occur, they are unlikely, so the activity is not abusive.",1
"BDSM practices are illegal in many countries, as their extreme nature and potentially grave consequences make consent impossible.","Legality shifts over time and in different contexts (pp. 23-24) and, as such, cannot qualify the nature of BDSM. Many abusive activities are legal, and many non-abusive ones are illegal.",1
"BDSM practices are illegal in many countries, as their extreme nature and potentially grave consequences make consent impossible.","As not all BDSM acts are illegal, it is inappropriate to mar the image of the community by associating it with violence and criminality.",1
"BDSM practices are illegal in many countries, as their extreme nature and potentially grave consequences make consent impossible.","There are instances where we can consent to being harmed, even if extreme side effects are possible. This may indicate that the criminalisation of BDSM is motivated not by fear of harm but sex negativity and stigma (p. 132).",1
"BDSM play can include abduction. This could be highly dangerous or distressing, and so the ability to consent is diminished.","Abduction fantasies are typically negotiated in advance and take place in controlled environments, so consent can still be given. Interruptions can and do occur when necessary to ensure safety (p. 796).",1
"Acts akin to those used in torture are not uncommon within BDSM culture and circles, even though torture and its constituent elements are frequently illegal.","The term 'torture' is used in a very loose, playful way in BDSM culture and has little to do with the commonly understood meaning of the term.",1
"Acts akin to those used in torture are not uncommon within BDSM culture and circles, even though torture and its constituent elements are frequently illegal.",Consent can turn a potential assault into a legally permissible activity.,1
"Even if most BDSM torture is playful, some BDSM scenes make use of advanced psychological torture techniques, so the community should be deemed unsafe and abusive.","The term 'torture' is used in a very loose, playful way in BDSM culture and has little to do with the commonly understood meaning of the term.",1
"A behaviour or practice can still be abusive despite being legally permissible. For example, many forms of verbal abuse are legal.",Consent can turn a potential assault into a legally permissible activity.,1
"In some nations, legal precedent criminalises BDSM, as it incapacitates the individual such that they cannot consent, making the acts inherently illegal.","As lawmakers have often failed to outlaw acts that are unethical and abusive, such as slavery and domestic violence, legality does not necessarily track with morality. There may be other factors that influence criminalisation.",1
"In some nations, legal precedent criminalises BDSM, as it incapacitates the individual such that they cannot consent, making the acts inherently illegal.","In some cases, BDSM has been inadvertently criminalized by laws established to protect victims when they speak out against abusers (p. 29).",1
"In some cases, participants have died due to injuries sustained in BDSM play (p. 288). Individuals cannot consent to their own death; life is necessary to assign value to acts and thus must be preserved for consent to be given.","Fatalities rarely occur during BDSM scenes compared to autoerotic practices or natural deaths during sexual activity (p. 294). Given this low risk, it is illegitimate to criminalise BDSM.",1
